,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome
1367,34045,New York Yankees,0,7,2,7/8/2016,on grass,Night Game,Cleveland Indians,0,9,10,7:11 p.m. Local,Progressive Field,Friday,83,3, in from Centerfield,Sunny,12,2.6,regular season,1,0,Win
1368,26199,Atlanta Braves,2,15,11,7/8/2016,on grass,Night Game,Chicago White Sox,1,13,8,7:10 p.m. Local,U.S. Cellular Field,Friday,84,16, from Left to Right,Cloudy,19,3.283333333,regular season,0,1,Loss
1369,37739,Tampa Bay Rays,0,10,5,7/8/2016,on grass,Night Game,Boston Red Sox,0,11,6,7:10 p.m. Local,Fenway Park,Friday,62,9, in from Rightfield,Unknown,11,3.333333333,regular season,1,0,Win
1370,44317,Los Angeles Angels of Anaheim,2,10,9,7/8/2016,on grass,Night Game,Baltimore Orioles,2,9,5,7:11 p.m. Local,Oriole Park at Camden Yards,Friday,81,4, in from Centerfield,Cloudy,14,3.45,regular season,0,1,Loss
1371,46283,Detroit Tigers,1,8,4,7/7/2016,on turf,Night Game,Toronto Blue Jays,0,12,5,7:08 p.m. Local,Rogers Centre,Thursday,81,1, in unknown direction,Unknown,9,3.3,regular season,1,0,Win
1372,43934,Minnesota Twins,0,18,10,7/7/2016,on grass,Night Game,Texas Rangers,0,4,1,7:07 p.m. Local,Globe Life Park in Arlington,Thursday,93,20, in from Rightfield,Sunny,11,3.616666667,regular season,0,1,Loss
1374,42144,Pittsburgh Pirates,0,6,1,7/7/2016,on grass,Day Game,St. Louis Cardinals,0,6,5,1:16 p.m. Local,Busch Stadium III,Thursday,74,8, from Right to Left,Unknown,6,2.7,regular season,1,0,Win
1375,37569,Washington Nationals,0,12,7,7/7/2016,on grass,Night Game,New York Mets,1,15,9,7:10 p.m. Local,Citi Field,Thursday,81,10, in from Rightfield,Unknown,16,3.65,regular season,1,0,Win
1376,44759,San Diego Padres,0,10,6,7/7/2016,on grass,Night Game,Los Angeles Dodgers,1,2,0,7:10 p.m. Local,Dodger Stadium,Thursday,73,8, from Left to Right,Sunny,6,2.75,regular season,0,1,Loss
1377,31425,Seattle Mariners,0,9,3,7/7/2016,on grass,Night Game,Kansas City Royals,0,9,4,7:15 p.m. Local,Kauffman Stadium,Thursday,85,9, from Right to Left,Unknown,7,2.616666667,regular season,1,0,Win
1379,35250,Philadelphia Phillies,0,9,2,7/7/2016,on grass,Night Game,Colorado Rockies,0,14,11,6:40 p.m. Local,Coors Field,Thursday,87,4, out to Leftfield,Cloudy,13,2.883333333,regular season,1,0,Win
1380,23848,New York Yankees,0,11,5,7/7/2016,on grass,Night Game,Cleveland Indians,0,7,4,7:10 p.m. Local,Progressive Field,Thursday,83,3, from Left to Right,Sunny,9,3,regular season,0,1,Loss
1381,41480,Atlanta Braves,0,6,4,7/7/2016,on grass,Night Game,Chicago Cubs,0,8,3,8:40 p.m. Local,Wrigley Field,Thursday,72,3, out to Centerfield,Unknown,7,3.9,regular season,0,1,Loss
1382,26330,Milwaukee Brewers,0,8,4,7/6/2016,on grass,Day Game,Washington Nationals,1,10,7,4:06 p.m. Local,Nationals Park,Wednesday,91,4, in from Leftfield,Cloudy,11,2.783333333,regular season,1,0,Win
1383,39971,Kansas City Royals,0,4,2,7/6/2016,on turf,Night Game,Toronto Blue Jays,0,8,4,7:08 p.m. Local,Rogers Centre,Wednesday,74,10, out to Centerfield,Overcast,6,2.266666667,regular season,1,0,Win
1385,42693,Pittsburgh Pirates,0,9,7,7/6/2016,on grass,Night Game,St. Louis Cardinals,1,12,5,7:15 p.m. Local,Busch Stadium III,Wednesday,77,5, in from Leftfield,Overcast,12,3.35,regular season,0,1,Loss
1386,42076,Colorado Rockies,0,5,1,7/6/2016,on grass,Night Game,San Francisco Giants,0,9,5,7:16 p.m. Local,AT&T Park,Wednesday,59,15, out to Centerfield,Unknown,6,2.516666667,regular season,1,0,Win
1387,19211,Atlanta Braves,0,7,3,7/6/2016,on grass,Day Game,Philadelphia Phillies,2,9,4,1:07 p.m. Local,Citizens Bank Park,Wednesday,92,6, from Left to Right,Cloudy,7,2.9,regular season,1,0,Win
1388,26191,Miami Marlins,1,7,2,7/6/2016,on grass,Day Game,New York Mets,0,6,4,1:10 p.m. Local,Citi Field,Wednesday,92,6, in from Rightfield,Cloudy,6,2.666666667,regular season,1,0,Win
1389,41753,Colorado Rockies,1,13,7,7/5/2016,on grass,Night Game,San Francisco Giants,0,6,3,7:16 p.m. Local,AT&T Park,Tuesday,58,19, out to Centerfield,Overcast,10,3.566666667,regular season,0,1,Loss
1390,18426,Atlanta Braves,1,6,1,7/5/2016,on grass,Night Game,Philadelphia Phillies,0,8,5,7:07 p.m. Local,Citizens Bank Park,Tuesday,88,7, from Left to Right,Cloudy,6,2.133333333,regular season,1,0,Win
1391,29477,Miami Marlins,0,9,5,7/5/2016,on grass,Night Game,New York Mets,0,4,2,7:11 p.m. Local,Citi Field,Tuesday,88,8, from Left to Right,Sunny,7,2.55,regular season,0,1,Loss
1392,16938,Oakland Athletics,0,8,4,7/5/2016,on grass,Night Game,Minnesota Twins,1,12,11,9:52 p.m. Local,Target Field,Tuesday,69,9, in from Centerfield,Overcast,15,3.133333333,regular season,1,0,Win
1393,45373,Baltimore Orioles,0,9,4,7/5/2016,on grass,Night Game,Los Angeles Dodgers,1,6,1,7:10 p.m. Local,Dodger Stadium,Tuesday,72,9, out to Rightfield,Sunny,5,3.283333333,regular season,0,1,Loss
1395,19448,Detroit Tigers,0,4,1,7/5/2016,on grass,Night Game,Cleveland Indians,0,13,12,7:10 p.m. Local,Progressive Field,Tuesday,82,4, from Left to Right,Sunny,13,3.083333333,regular season,1,0,Win
1396,41310,Cincinnati Reds,0,10,9,7/5/2016,on grass,Day Game,Chicago Cubs,2,7,5,1:21 p.m. Local,Wrigley Field,Tuesday,84,8, out to Centerfield,Cloudy,14,3.133333333,regular season,0,1,Loss
1397,20773,New York Yankees,0,20,9,7/5/2016,on grass,Night Game,Chicago White Sox,2,6,0,7:10 p.m. Local,U.S. Cellular Field,Tuesday,86,8, out to Rightfield,Cloudy,9,3.116666667,regular season,0,1,Loss
1398,35964,Texas Rangers,0,11,7,7/5/2016,on grass,Night Game,Boston Red Sox,0,11,2,7:10 p.m. Local,Fenway Park,Tuesday,74,8, out to Leftfield,Cloudy,9,3.35,regular season,0,1,Loss
1400,29174,Milwaukee Brewers,1,5,1,7/4/2016,on grass,Day Game,Washington Nationals,1,2,0,11:05 a.m. Local,Nationals Park,Monday,72,2, from Right to Left,Overcast,1,3.016666667,regular season,0,1,Loss
1401,36438,Kansas City Royals,0,4,2,7/4/2016,on turf,Night Game,Toronto Blue Jays,0,6,6,7:08 p.m. Local,Rogers Centre,Monday,77,4, out to Leftfield,Sunny,8,2.166666667,regular season,1,0,Win
1403,41850,Pittsburgh Pirates,0,11,4,7/4/2016,on grass,Day Game,St. Louis Cardinals,1,10,2,2:41 p.m. Local,Busch Stadium III,Monday,76,5, from Right to Left,Drizzle,6,2.9,regular season,0,1,Loss
1404,41874,Colorado Rockies,1,6,1,7/4/2016,on grass,Day Game,San Francisco Giants,0,5,3,1:06 p.m. Local,AT&T Park,Monday,64,11, out to Leftfield,Cloudy,4,2.933333333,regular season,1,0,Win
1405,19064,Atlanta Braves,1,6,2,7/4/2016,on grass,Day Game,Philadelphia Phillies,1,12,8,4:08 p.m. Local,Citizens Bank Park,Monday,77,10, out to Centerfield,Unknown,10,2.45,regular season,1,0,Win
1406,30424,Miami Marlins,0,17,6,7/4/2016,on grass,Day Game,New York Mets,2,13,8,4:12 p.m. Local,Citi Field,Monday,78,14, out to Centerfield,Sunny,14,3.633333333,regular season,1,0,Win
1407,23100,Oakland Athletics,0,7,3,7/4/2016,on grass,Day Game,Minnesota Twins,1,4,1,1:10 p.m. Local,Target Field,Monday,75,11, from Right to Left,Cloudy,4,2.833333333,regular season,0,1,Loss
1408,47378,Baltimore Orioles,0,8,5,7/4/2016,on grass,Night Game,Los Angeles Dodgers,0,9,7,6:10 p.m. Local,Dodger Stadium,Monday,72,9, from Left to Right,Sunny,12,3.2,regular season,1,0,Win
1410,34163,Detroit Tigers,0,9,3,7/4/2016,on grass,Night Game,Cleveland Indians,0,8,5,9:31 p.m. Local,Progressive Field,Monday,70,3, in from Rightfield,Overcast,8,3.333333333,regular season,1,0,Win
1411,41293,Cincinnati Reds,2,9,4,7/4/2016,on grass,Day Game,Chicago Cubs,1,12,10,1:22 p.m. Local,Wrigley Field,Monday,73,8, in from Rightfield,Unknown,14,3.016666667,regular season,1,0,Win
1412,30955,New York Yankees,3,8,2,7/4/2016,on grass,Day Game,Chicago White Sox,4,13,8,1:11 p.m. Local,U.S. Cellular Field,Monday,75,3, from Right to Left,Unknown,10,3.1,regular season,1,0,Win
1413,36253,Texas Rangers,0,16,5,7/4/2016,on grass,Day Game,Boston Red Sox,2,21,12,1:37 p.m. Local,Fenway Park,Monday,84,11, out to Centerfield,Cloudy,17,3.666666667,regular season,1,0,Win
1415,37328,Cincinnati Reds,0,3,1,7/3/2016,on grass,Day Game,Washington Nationals,0,15,12,1:36 p.m. Local,Nationals Park,Sunday,75,1, out to Leftfield,Unknown,13,3.133333333,regular season,1,0,Win
1416,45962,Cleveland Indians,2,5,1,7/3/2016,on turf,Day Game,Toronto Blue Jays,0,18,17,1:08 p.m. Local,Rogers Centre,Sunday,68,8, out to Rightfield,Sunny,18,3.166666667,regular season,1,0,Win
1418,41148,Milwaukee Brewers,1,16,8,7/3/2016,on grass,Day Game,St. Louis Cardinals,0,11,9,2:35 p.m. Local,Busch Stadium III,Sunday,69,10, from Right to Left,Overcast,17,3.8,regular season,1,0,Win
1419,31405,Baltimore Orioles,1,12,4,7/3/2016,on grass,Day Game,Seattle Mariners,1,10,9,1:10 p.m. Local,Safeco Field,Sunday,65,1, in from Leftfield,Cloudy,13,2.883333333,regular season,1,0,Win
1420,42131,New York Yankees,0,10,6,7/3/2016,on grass,Day Game,San Diego Padres,1,8,3,1:41 p.m. Local,Petco Park,Sunday,70,8, from Left to Right,Cloudy,9,3.2,regular season,0,1,Loss
1421,20473,Kansas City Royals,0,7,2,7/3/2016,on grass,Day Game,Philadelphia Phillies,0,11,7,1:39 p.m. Local,Citizens Bank Park,Sunday,80,5, out to Centerfield,Cloudy,9,2.7,regular season,1,0,Win
1422,21831,Pittsburgh Pirates,0,11,6,7/3/2016,on grass,Day Game,Oakland Athletics,0,10,3,1:07 p.m. Local,Oakland-Alameda County Coliseum,Sunday,69,11, out to Rightfield,Sunny,9,3.583333333,regular season,0,1,Loss
1423,36137,Chicago Cubs,0,11,3,7/3/2016,on grass,Day Game,New York Mets,1,22,14,1:12 p.m. Local,Citi Field,Sunday,80,3, out to Leftfield,Cloudy,17,3.283333333,regular season,1,0,Win
1424,26942,Texas Rangers,1,8,4,7/3/2016,on grass,Day Game,Minnesota Twins,1,11,5,1:12 p.m. Local,Target Field,Sunday,77,11, in from Rightfield,Cloudy,9,3.066666667,regular season,1,0,Win
1425,41836,Colorado Rockies,0,4,1,7/3/2016,on grass,Day Game,Los Angeles Dodgers,0,7,4,1:10 p.m. Local,Dodger Stadium,Sunday,77,6, out to Rightfield,Sunny,5,2.866666667,regular season,1,0,Win
1427,36801,Los Angeles Angels of Anaheim,1,10,5,7/3/2016,on grass,Day Game,Boston Red Sox,0,16,10,1:35 p.m. Local,Fenway Park,Sunday,81,11, out to Rightfield,Sunny,15,3.866666667,regular season,1,0,Win
1428,12582,Miami Marlins,1,13,5,7/3/2016,on grass,Night Game,Atlanta Braves,0,5,2,8:10 p.m. Local,Fort Bragg Park,Sunday,81,5, in from Centerfield,Overcast,7,2.983333333,regular season,0,1,Loss
1430,35195,Cincinnati Reds,1,14,9,7/2/2016,on grass,Night Game,Washington Nationals,2,3,4,7:17 p.m. Local,Nationals Park,Saturday,80,8, in from Leftfield,Cloudy,13,3.583333333,regular season,0,1,Loss
1431,46197,Cleveland Indians,1,10,6,7/2/2016,on turf,Day Game,Toronto Blue Jays,0,12,9,1:09 p.m. Local,Rogers Centre,Saturday,76,11, out to Leftfield,Cloudy,15,3.316666667,regular season,1,0,Win
1433,40573,Milwaukee Brewers,0,7,0,7/2/2016,on grass,Day Game,St. Louis Cardinals,0,8,3,2:47 p.m. Local,Busch Stadium III,Saturday,65,3, in from Rightfield,Unknown,3,2.666666667,regular season,1,0,Win
1434,29362,Baltimore Orioles,0,12,6,7/2/2016,on grass,Night Game,Seattle Mariners,1,16,12,7:10 p.m. Local,Safeco Field,Saturday,72,5, out to Centerfield,Cloudy,18,3.25,regular season,1,0,Win
1435,42315,New York Yankees,0,6,1,7/2/2016,on grass,Night Game,San Diego Padres,0,7,2,7:11 p.m. Local,Petco Park,Saturday,71,7, in unknown direction,Sunny,3,2.716666667,regular season,1,0,Win
1436,40331,Kansas City Royals,0,10,6,7/2/2016,on grass,Night Game,Philadelphia Phillies,1,7,2,5:54 p.m. Local,Citizens Bank Park,Saturday,78,11, from Left to Right,Cloudy,8,2.783333333,regular season,0,1,Loss
1437,28846,Pittsburgh Pirates,0,9,4,7/2/2016,on grass,Night Game,Oakland Athletics,0,11,2,7:07 p.m. Local,Oakland-Alameda County Coliseum,Saturday,64,13, out to Rightfield,Sunny,6,3.316666667,regular season,0,1,Loss
1438,41151,Chicago Cubs,0,6,3,7/2/2016,on grass,Night Game,New York Mets,1,8,4,7:16 p.m. Local,Citi Field,Saturday,76,10, from Left to Right,Sunny,7,3.1,regular season,1,0,Win
1439,21466,Texas Rangers,1,10,5,7/2/2016,on grass,Day Game,Minnesota Twins,0,13,17,1:10 p.m. Local,Target Field,Saturday,76,6, in unknown direction,Cloudy,22,3.1,regular season,1,0,Win
1441,36552,Los Angeles Angels of Anaheim,1,22,21,7/2/2016,on grass,Night Game,Boston Red Sox,4,8,2,7:16 p.m. Local,Fenway Park,Saturday,80,12, out to Rightfield,Cloudy,23,3.633333333,regular season,0,1,Loss
1442,23448,Miami Marlins,1,7,1,7/2/2016,on grass,Day Game,Atlanta Braves,0,9,9,4:10 p.m. Local,Turner Field,Saturday,94,11, in unknown direction,Cloudy,10,2.466666667,regular season,1,0,Win
1444,27631,Cincinnati Reds,0,11,2,7/1/2016,on grass,Night Game,Washington Nationals,0,10,3,6:40 p.m. Local,Nationals Park,Friday,78,8, out to Centerfield,Unknown,5,4.5,regular season,1,0,Win
1447,42987,Milwaukee Brewers,2,4,1,7/1/2016,on grass,Night Game,St. Louis Cardinals,2,11,7,7:15 p.m. Local,Busch Stadium III,Friday,80,7, in from Leftfield,Cloudy,8,2.783333333,regular season,1,0,Win
1448,33006,Baltimore Orioles,0,5,2,7/1/2016,on grass,Night Game,Seattle Mariners,1,10,5,7:10 p.m. Local,Safeco Field,Friday,70,2, out to Rightfield,Cloudy,7,2.583333333,regular season,1,0,Win
1449,41321,New York Yankees,1,7,6,7/1/2016,on grass,Night Game,San Diego Padres,1,8,7,7:42 p.m. Local,Petco Park,Friday,63,8, from Left to Right,Sunny,13,3.2,regular season,1,0,Win
1450,30263,Kansas City Royals,2,8,3,7/1/2016,on grass,Night Game,Philadelphia Phillies,0,12,4,7:09 p.m. Local,Citizens Bank Park,Friday,79,8, out to Centerfield,Unknown,7,3.1,regular season,1,0,Win
1451,15710,Pittsburgh Pirates,1,8,7,7/1/2016,on grass,Night Game,Oakland Athletics,0,4,3,7:07 p.m. Local,Oakland-Alameda County Coliseum,Friday,61,10, out to Rightfield,Sunny,10,2.75,regular season,0,1,Loss
1452,34294,Chicago Cubs,0,6,2,7/1/2016,on grass,Night Game,New York Mets,0,12,10,7:21 p.m. Local,Citi Field,Friday,72,6, out to Leftfield,Cloudy,12,2.933333333,regular season,1,0,Win
1453,25530,Texas Rangers,0,8,3,7/1/2016,on grass,Night Game,Minnesota Twins,0,7,2,7:10 p.m. Local,Target Field,Friday,73,3, in unknown direction,Cloudy,5,3.066666667,regular season,0,1,Loss
1454,43644,Colorado Rockies,0,3,0,7/1/2016,on grass,Night Game,Los Angeles Dodgers,0,9,5,7:11 p.m. Local,Dodger Stadium,Friday,73,9, out to Rightfield,Sunny,5,2.883333333,regular season,1,0,Win
1456,37117,Los Angeles Angels of Anaheim,0,12,4,7/1/2016,on grass,Night Game,Boston Red Sox,0,16,5,7:09 p.m. Local,Fenway Park,Friday,75,12, out to Leftfield,Unknown,9,3.6,regular season,1,0,Win
1457,32036,Miami Marlins,1,17,7,7/1/2016,on grass,Night Game,Atlanta Braves,0,11,5,7:38 p.m. Local,Turner Field,Friday,91,9, from Left to Right,Sunny,12,4.083333333,regular season,0,1,Loss
1459,29386,Cincinnati Reds,0,9,4,6/30/2016,on grass,Night Game,Washington Nationals,0,11,13,7:06 p.m. Local,Nationals Park,Thursday,81,8, from Right to Left,Cloudy,17,3.116666667,regular season,1,0,Win
1460,41365,Cleveland Indians,0,10,4,6/30/2016,on turf,Night Game,Toronto Blue Jays,0,3,1,7:08 p.m. Local,Rogers Centre,Thursday,77,11, out to Centerfield,Sunny,5,2.55,regular season,0,1,Loss
1462,44802,Kansas City Royals,0,7,4,6/30/2016,on grass,Night Game,St. Louis Cardinals,3,3,2,6:15 p.m. Local,Busch Stadium III,Thursday,79,8, out to Leftfield,Cloudy,6,2.833333333,regular season,0,1,Loss
1463,23715,Baltimore Orioles,1,8,3,6/30/2016,on grass,Night Game,Seattle Mariners,0,9,5,7:10 p.m. Local,Safeco Field,Thursday,73,4, out to Centerfield,Cloudy,8,3.1,regular season,1,0,Win
1464,36067,San Francisco Giants,1,14,12,6/30/2016,on grass,Night Game,Oakland Athletics,0,10,6,7:07 p.m. Local,Oakland-Alameda County Coliseum,Thursday,66,10, out to Leftfield,Sunny,18,3.716666667,regular season,0,1,Loss
1465,40122,Chicago Cubs,1,9,3,6/30/2016,on grass,Night Game,New York Mets,0,6,4,7:10 p.m. Local,Citi Field,Thursday,81,18, out to Leftfield,Cloudy,7,3.366666667,regular season,1,0,Win
1466,39934,Texas Rangers,0,4,1,6/30/2016,on grass,Day Game,New York Yankees,0,5,2,1:10 p.m. Local,Yankee Stadium III,Thursday,81,2, out to Rightfield,Sunny,3,3.2,regular season,1,0,Win
1467,33029,Los Angeles Dodgers,2,14,8,6/30/2016,on grass,Day Game,Milwaukee Brewers,0,4,1,1:11 p.m. Local,Miller Park,Thursday,78,11, out to Rightfield,Unknown,9,3.316666667,regular season,0,1,Loss
1468,26158,Minnesota Twins,1,8,5,6/30/2016,on grass,Day Game,Chicago White Sox,0,12,6,1:10 p.m. Local,U.S. Cellular Field,Thursday,77,8, out to Rightfield,Unknown,11,3.05,regular season,1,0,Win
1469,16097,Miami Marlins,1,7,5,6/30/2016,on grass,Night Game,Atlanta Braves,1,14,8,7:10 p.m. Local,Turner Field,Thursday,86,8, from Right to Left,Cloudy,13,3.55,regular season,1,0,Win
1470,33386,New York Mets,1,6,2,6/29/2016,on grass,Night Game,Washington Nationals,0,5,4,7:10 p.m. Local,Nationals Park,Wednesday,80,7, from Left to Right,Sunny,6,3.016666667,regular season,1,0,Win
1472,36683,Houston Astros,1,12,10,6/29/2016,on grass,Day Game,Los Angeles Angels of Anaheim,2,11,4,12:38 p.m. Local,Angel Stadium of Anaheim,Wednesday,86,8, out to Centerfield,Sunny,14,3.3,regular season,0,1,Loss
1473,29918,New York Mets,0,5,0,6/28/2016,on grass,Night Game,Washington Nationals,0,7,5,8:00 p.m. Local,Nationals Park,Tuesday,74,7, in from Rightfield,Cloudy,5,2.783333333,regular season,1,0,Win
1475,41730,Oakland Athletics,0,12,13,6/28/2016,on grass,Night Game,San Francisco Giants,1,18,11,7:16 p.m. Local,AT&T Park,Tuesday,59,16, out to Centerfield,Sunny,24,3.883333333,regular season,0,1,Loss
1476,24836,Pittsburgh Pirates,1,7,2,6/28/2016,on grass,Night Game,Seattle Mariners,1,12,5,7:10 p.m. Local,Safeco Field,Tuesday,73,5, out to Leftfield,Sunny,7,2.883333333,regular season,1,0,Win
1477,31515,Baltimore Orioles,1,17,11,6/28/2016,on grass,Night Game,San Diego Padres,1,8,7,7:10 p.m. Local,Petco Park,Tuesday,66,7, from Right to Left,Sunny,18,3.133333333,regular season,0,1,Loss
1478,32373,Texas Rangers,0,11,7,6/28/2016,on grass,Night Game,New York Yankees,0,8,1,7:08 p.m. Local,Yankee Stadium III,Tuesday,72,10, in from Rightfield,Unknown,8,2.616666667,regular season,0,1,Loss
1479,33819,Los Angeles Dodgers,1,12,6,6/28/2016,on grass,Night Game,Milwaukee Brewers,2,4,5,7:11 p.m. Local,Miller Park,Tuesday,71,11, from Left to Right,Sunny,11,3.416666667,regular season,0,1,Loss
1480,32909,St. Louis Cardinals,1,9,8,6/28/2016,on grass,Night Game,Kansas City Royals,1,11,4,7:14 p.m. Local,Kauffman Stadium,Tuesday,83,8, from Right to Left,Sunny,12,2.833333333,regular season,0,1,Loss
1481,30808,Miami Marlins,0,16,5,6/28/2016,on grass,Night Game,Detroit Tigers,3,9,7,7:10 p.m. Local,Comerica Park,Tuesday,67,11, out to Centerfield,Overcast,12,3,regular season,1,0,Win
1482,33917,Toronto Blue Jays,1,18,14,6/28/2016,on grass,Night Game,Colorado Rockies,4,14,9,9:21 p.m. Local,Coors Field,Tuesday,62,4, from Left to Right,Cloudy,23,3.85,regular season,0,1,Loss
1483,35999,Chicago Cubs,1,9,7,6/28/2016,on grass,Night Game,Cincinnati Reds,1,8,2,7:10 p.m. Local,Great American Ball Park,Tuesday,80,9, out to Centerfield,Cloudy,9,4.716666667,regular season,0,1,Loss
1484,22072,Minnesota Twins,1,7,4,6/28/2016,on grass,Night Game,Chicago White Sox,0,6,0,7:10 p.m. Local,U.S. Cellular Field,Tuesday,70,12, from Left to Right,Sunny,4,2.85,regular season,0,1,Loss
1485,19206,Cleveland Indians,0,9,5,6/28/2016,on grass,Night Game,Atlanta Braves,1,5,3,7:10 p.m. Local,Turner Field,Tuesday,75,2, out to Leftfield,Unknown,8,2.666666667,regular season,0,1,Loss
1487,38781,Houston Astros,1,12,7,6/28/2016,on grass,Night Game,Los Angeles Angels of Anaheim,1,8,1,7:08 p.m. Local,Angel Stadium of Anaheim,Tuesday,83,10, out to Rightfield,Sunny,8,3.116666667,regular season,0,1,Loss
1488,33109,New York Mets,0,14,4,6/27/2016,on grass,Night Game,Washington Nationals,0,17,11,7:06 p.m. Local,Nationals Park,Monday,82,9, out to Leftfield,Drizzle,15,3.55,regular season,1,0,Win
1490,41442,Oakland Athletics,0,12,8,6/27/2016,on grass,Night Game,San Francisco Giants,0,7,3,7:16 p.m. Local,AT&T Park,Monday,64,12, out to Centerfield,Sunny,11,2.716666667,regular season,0,1,Loss
1491,26925,Los Angeles Dodgers,0,7,5,6/27/2016,on grass,Day Game,Pittsburgh Pirates,1,5,4,12:38 p.m. Local,PNC Park,Monday,83,9, out to Leftfield,Unknown,9,3.533333333,regular season,0,1,Loss
1492,32914,Texas Rangers,0,9,9,6/27/2016,on grass,Night Game,New York Yankees,1,16,6,7:26 p.m. Local,Yankee Stadium III,Monday,76,19, from Right to Left,Unknown,15,3.716666667,regular season,0,1,Loss
1493,31355,St. Louis Cardinals,1,6,2,6/27/2016,on grass,Night Game,Kansas City Royals,0,12,6,7:15 p.m. Local,Kauffman Stadium,Monday,90,8, in from Rightfield,Sunny,8,2.533333333,regular season,1,0,Win
1494,36419,Toronto Blue Jays,0,6,5,6/27/2016,on grass,Night Game,Colorado Rockies,0,10,9,6:42 p.m. Local,Coors Field,Monday,90,11, from Right to Left,Cloudy,14,2.8,regular season,1,0,Win
1495,31762,Chicago Cubs,1,17,11,6/27/2016,on grass,Night Game,Cincinnati Reds,1,8,8,7:10 p.m. Local,Great American Ball Park,Monday,87,10, in unknown direction,Overcast,19,3.366666667,regular season,0,1,Loss
1496,15538,Cleveland Indians,0,14,8,6/27/2016,on grass,Night Game,Atlanta Braves,2,8,3,7:10 p.m. Local,Turner Field,Monday,89,14, out to Centerfield,Cloudy,11,3.25,regular season,0,1,Loss
1498,36839,Houston Astros,0,11,4,6/27/2016,on grass,Night Game,Los Angeles Angels of Anaheim,1,9,2,7:09 p.m. Local,Angel Stadium of Anaheim,Monday,78,5, from Right to Left,Unknown,6,3.633333333,regular season,0,1,Loss
1499,36312,Boston Red Sox,1,8,2,6/26/2016,on grass,Day Game,Texas Rangers,0,10,6,2:09 p.m. Local,Globe Life Park in Arlington,Sunday,93,12, from Right to Left,Sunny,8,3.066666667,regular season,1,0,Win
1500,41479,Philadelphia Phillies,1,12,7,6/26/2016,on grass,Day Game,San Francisco Giants,0,16,8,1:07 p.m. Local,AT&T Park,Sunday,75,8, out to Centerfield,Cloudy,15,3.266666667,regular season,1,0,Win
1501,35955,St. Louis Cardinals,0,17,11,6/26/2016,on grass,Day Game,Seattle Mariners,1,12,6,1:10 p.m. Local,Safeco Field,Sunday,69,6, out to Centerfield,Sunny,17,3.416666667,regular season,0,1,Loss
1502,32228,Los Angeles Dodgers,0,4,3,6/26/2016,on grass,Night Game,Pittsburgh Pirates,0,9,4,8:09 p.m. Local,PNC Park,Sunday,85,10, from Right to Left,Cloudy,7,2.666666667,regular season,1,0,Win
1503,38673,Minnesota Twins,0,8,7,6/26/2016,on grass,Day Game,New York Yankees,0,2,1,1:08 p.m. Local,Yankee Stadium III,Sunday,83,5, out to Centerfield,Sunny,8,2.4,regular season,0,1,Loss
1504,30215,Washington Nationals,0,4,3,6/26/2016,on grass,Day Game,Milwaukee Brewers,1,11,2,1:10 p.m. Local,Miller Park,Sunday,84,8, in from Leftfield,Unknown,5,3.233333333,regular season,0,1,Loss
1506,36450,Houston Astros,0,4,1,6/26/2016,on grass,Day Game,Kansas City Royals,0,13,6,1:17 p.m. Local,Kauffman Stadium,Sunday,87,6, in from Rightfield,Unknown,7,2.55,regular season,1,0,Win
1507,36502,Cleveland Indians,0,13,9,6/26/2016,on grass,Day Game,Detroit Tigers,0,6,3,1:10 p.m. Local,Comerica Park,Sunday,86,15, from Right to Left,Unknown,12,2.8,regular season,0,1,Loss
1508,32435,Arizona Diamondbacks,1,15,7,6/26/2016,on grass,Day Game,Colorado Rockies,0,11,9,2:11 p.m. Local,Coors Field,Sunday,89,5, from Right to Left,Sunny,16,3.583333333,regular season,1,0,Win
1509,40805,San Diego Padres,0,5,0,6/26/2016,on grass,Day Game,Cincinnati Reds,0,9,3,1:13 p.m. Local,Great American Ball Park,Sunday,89,8, from Right to Left,Cloudy,3,2.633333333,regular season,1,0,Win
1510,28345,Toronto Blue Jays,1,5,2,6/26/2016,on grass,Day Game,Chicago White Sox,0,8,5,1:10 p.m. Local,U.S. Cellular Field,Sunday,85,7, out to Rightfield,Unknown,7,2.45,regular season,1,0,Win
1511,38611,Tampa Bay Rays,0,12,5,6/26/2016,on grass,Day Game,Baltimore Orioles,0,17,12,1:39 p.m. Local,Oriole Park at Camden Yards,Sunday,83,5, from Right to Left,Sunny,17,3.05,regular season,1,0,Win
1512,20484,New York Mets,1,7,2,6/26/2016,on grass,Day Game,Atlanta Braves,1,10,5,1:36 p.m. Local,Turner Field,Sunday,88,8, in from Rightfield,Unknown,7,2.65,regular season,1,0,Win
1513,36715,Oakland Athletics,0,9,6,6/26/2016,on grass,Day Game,Los Angeles Angels of Anaheim,0,13,7,12:37 p.m. Local,Angel Stadium of Anaheim,Sunday,85,9, out to Centerfield,Sunny,13,3.55,regular season,1,0,Win
